2024-08-13 14:37:38,697 INFO    MainThread:2170480 [wandb_setup.py:_flush():76] Current SDK version is 0.17.6
2024-08-13 14:37:38,701 INFO    MainThread:2170480 [wandb_setup.py:_flush():76] Configure stats pid to 2170480
2024-08-13 14:37:38,701 INFO    MainThread:2170480 [wandb_setup.py:_flush():76] Loading settings from /global/homes/g/gzquse/.config/wandb/settings
2024-08-13 14:37:38,701 INFO    MainThread:2170480 [wandb_setup.py:_flush():76] Loading settings from /pscratch/sd/g/gzquse/quanta/run/wandb/settings
2024-08-13 14:37:38,701 INFO    MainThread:2170480 [wandb_setup.py:_flush():76] Loading settings from environment variables: {}
2024-08-13 14:37:38,701 INFO    MainThread:2170480 [wandb_setup.py:_flush():76] Applying setup settings: {'_disable_service': False}
2024-08-13 14:37:38,701 INFO    MainThread:2170480 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'run/run.py', 'program_abspath': '/pscratch/sd/g/gzquse/quanta/run/run.py', 'program': '/pscratch/sd/g/gzquse/quanta/run/run.py'}
2024-08-13 14:37:38,701 INFO    MainThread:2170480 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-08-13 14:37:38,701 INFO    MainThread:2170480 [wandb_setup.py:_flush():76] Applying login settings: {'api_key': '***REDACTED***'}
2024-08-13 14:37:38,701 INFO    MainThread:2170480 [wandb_init.py:_log_setup():521] Logging user logs to /pscratch/sd/g/gzquse/quanta/run/wandb/run-20240813_143738-j2kwh70g/logs/debug.log
2024-08-13 14:37:38,702 INFO    MainThread:2170480 [wandb_init.py:_log_setup():522] Logging internal logs to /pscratch/sd/g/gzquse/quanta/run/wandb/run-20240813_143738-j2kwh70g/logs/debug-internal.log
2024-08-13 14:37:38,702 INFO    MainThread:2170480 [wandb_init.py:init():559] calling init triggers
2024-08-13 14:37:38,702 INFO    MainThread:2170480 [wandb_init.py:init():566] wandb.init called with sweep_config: {}
config: {}
2024-08-13 14:37:38,702 INFO    MainThread:2170480 [wandb_init.py:init():609] starting backend
2024-08-13 14:37:38,702 INFO    MainThread:2170480 [wandb_init.py:init():613] setting up manager
2024-08-13 14:37:38,709 INFO    MainThread:2170480 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2024-08-13 14:37:38,714 INFO    MainThread:2170480 [wandb_init.py:init():621] backend started and connected
2024-08-13 14:37:38,720 INFO    MainThread:2170480 [wandb_init.py:init():716] updated telemetry
2024-08-13 14:37:38,739 INFO    MainThread:2170480 [wandb_init.py:init():749] communicating run to backend with 90.0 second timeout
2024-08-13 14:37:39,008 INFO    MainThread:2170480 [wandb_run.py:_on_init():2438] communicating current version
2024-08-13 14:37:39,113 INFO    MainThread:2170480 [wandb_run.py:_on_init():2447] got version response 
2024-08-13 14:37:39,113 INFO    MainThread:2170480 [wandb_init.py:init():800] starting run threads in backend
2024-08-13 14:37:42,401 INFO    MainThread:2170480 [wandb_run.py:_console_start():2416] atexit reg
2024-08-13 14:37:42,401 INFO    MainThread:2170480 [wandb_run.py:_redirect():2258] redirect: wrap_raw
2024-08-13 14:37:42,402 INFO    MainThread:2170480 [wandb_run.py:_redirect():2323] Wrapping output streams.
2024-08-13 14:37:42,402 INFO    MainThread:2170480 [wandb_run.py:_redirect():2348] Redirects installed.
2024-08-13 14:37:42,409 INFO    MainThread:2170480 [wandb_init.py:init():843] run started, returning control to user process
2024-08-13 14:37:48,748 WARNING MsgRouterThr:2170480 [router.py:message_loop():77] message_loop has been closed
